#{"t_start": 1784121635.9929411, "env_id": "FetchReachDense-v4"}
r,l,t
-9.400704,50,3.347103
-8.53434,50,3.503733
-11.121737,50,3.644167
-13.852227,50,3.78404
-5.180725,50,3.90684
-12.916567,50,4.049536
-8.324597,50,4.172402
-15.502321,50,4.290397
-7.508882,50,4.412433
-19.676528,50,4.547769
-12.842294,50,4.827484
-3.750325,50,4.957429
-12.456767,50,5.08095
-9.132815,50,5.206963
-10.134697,50,5.334122
-5.670837,50,5.447623
-12.961115,50,5.565022
-10.305203,50,5.679735
-7.317059,50,5.802885
-12.461825,50,5.930652
-5.785605,50,6.396347
-7.735381,50,6.60807
-15.929713,50,6.749762
-4.911365,50,6.915441
-13.186405,50,7.039977
-8.21151,50,7.186761
-9.850669,50,7.310826
-3.826423,50,7.43349
-18.56731,50,7.560784
-8.320097,50,7.683882
-9.605421,50,7.806604
-8.092216,50,7.920564
-5.9739,50,8.041962
-9.343818,50,8.17016
-11.44812,50,8.285933
-12.10744,50,8.403551
-7.997353,50,8.533206
-6.879691,50,8.69188
-11.947925,50,8.97513
-10.319829,50,9.108807
-10.330692,50,9.72242
-19.629284,50,10.133869
-8.982418,50,10.357373
-9.524037,50,10.582549
-16.129705,50,10.858421
-8.780004,50,11.048478
-19.875949,50,11.172267
-8.534208,50,11.292249
-7.072993,50,11.421663
-7.613844,50,11.534934
-9.552081,50,11.663862
-6.877212,50,11.82919
-6.944942,50,11.95618
-13.999439,50,12.089058
-8.256929,50,12.213588
-11.249619,50,12.355057
-8.129331,50,12.495721
-14.754028,50,12.612403
-16.377952,50,12.750545
-13.672215,50,12.99038
-19.058365,50,13.146168
-12.322484,50,13.806396
-9.380029,50,13.947621
-8.164446,50,14.085251
-6.627325,50,14.222666
-15.419575,50,14.360404
-10.357197,50,14.481112
-4.43496,50,14.702827
-8.272904,50,14.891455
-5.13677,50,15.030617
-9.736671,50,15.15458
-9.19213,50,15.279361
-13.088764,50,15.427995
-11.356117,50,15.57348
-11.406688,50,15.716902
-12.459868,50,15.930988
-10.423892,50,16.0721
-17.287159,50,16.200162
-11.678613,50,16.329383
-8.80967,50,16.453042
-14.283502,50,16.608312
-16.159789,50,17.287169
-4.183741,50,17.541077
-12.314385,50,17.684641
-15.412971,50,17.836956
-13.444368,50,17.979729
-10.779955,50,18.103483
-12.053902,50,18.252523
-7.059353,50,18.386988
-13.716081,50,18.501531
-6.4845,50,18.687964
-7.239891,50,18.824093
-9.867092,50,18.989253
-9.614526,50,19.12935
-9.315058,50,19.277811
-9.720418,50,19.419708
-10.953847,50,19.553855
-8.740419,50,19.786303
-16.881448,50,19.951358
-4.457442,50,20.086206
-7.960233,50,20.238914
-11.03304,50,20.372447
-10.759566,50,20.88202
-7.553393,50,21.037789
-6.88924,50,21.166871
-8.624919,50,21.324697
-9.249903,50,21.472585
-9.924301,50,21.652145
