
=== attempt 1/600, success 0/200, seed=3000 ===
bimanual task: left tray push + right block place
tray start: [-0.04515761  0.14809546  0.018     ]
tray goal: [0.09473986 0.14809546 0.018     ]
block start: [-0.02140322 -0.13022647  0.025     ]
left approach waypoint: [-0.20315761  0.14809546  0.143     ]
left contact waypoint: [-0.20315761  0.14809546  0.043     ]
phase=tray_approach | L err=0.248 xy=0.167 z=0.183 | tray goal=0.140 | R err=0.299 grip=0.008 | block xy=0.249 z=0.301 | lift=0.000 speed=0.020 | tray_xy=0.279
phase=tray_approach | L err=0.248 xy=0.167 z=0.183 | tray goal=0.140 | R err=0.299 grip=0.008 | block xy=0.249 z=0.301 | lift=-0.000 speed=0.039 | tray_xy=0.279
phase=tray_approach | L err=0.217 xy=0.158 z=0.149 | tray goal=0.140 | R err=0.295 grip=0.008 | block xy=0.249 z=0.294 | lift=-0.001 speed=0.001 | tray_xy=0.279
phase=tray_approach | L err=0.163 xy=0.144 z=0.077 | tray goal=0.140 | R err=0.293 grip=0.008 | block xy=0.249 z=0.290 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase=tray_approach | L err=0.141 xy=0.133 z=0.047 | tray goal=0.140 | R err=0.293 grip=0.008 | block xy=0.249 z=0.289 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase=tray_approach | L err=0.118 xy=0.117 z=0.020 | tray goal=0.140 | R err=0.292 grip=0.008 | block xy=0.249 z=0.289 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase=tray_approach | L err=0.100 xy=0.100 z=0.000 | tray goal=0.140 | R err=0.292 grip=0.008 | block xy=0.249 z=0.288 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase=tray_approach | L err=0.086 xy=0.084 z=0.019 | tray goal=0.140 | R err=0.292 grip=0.008 | block xy=0.249 z=0.288 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase=tray_approach | L err=0.074 xy=0.068 z=0.028 | tray goal=0.140 | R err=0.292 grip=0.008 | block xy=0.249 z=0.288 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase=tray_approach | L err=0.061 xy=0.053 z=0.030 | tray goal=0.140 | R err=0.292 grip=0.008 | block xy=0.249 z=0.288 | lift=-0.001 speed=0.000 | tray_xy=0.279
phase transition: tray_approach -> tray_contact
